08:41:52.962 |I| Core                           | RequestBuilder thread:9        | MsBuild process with Id = 157
08:41:54.676 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:54.678 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Module.Worker.csproj
08:41:54.678 |I| Build                          | RequestBuilder thread:9        | Start build 'Module.Worker.csproj' with 1 target frameworks
08:41:54.684 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:54.685 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Module.Task.csproj
08:41:54.685 |I| Build                          | RequestBuilder thread:9        | Start build 'Module.Task.csproj' with 1 target frameworks
08:41:54.691 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:54.692 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Core.Model.csproj
08:41:54.692 |I| Build                          | RequestBuilder thread:9        | Start build 'Core.Model.csproj' with 1 target frameworks
08:41:54.695 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:54.704 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Module.Player.csproj
08:41:54.704 |I| Build                          | RequestBuilder thread:9        | Start build 'Module.Player.csproj' with 1 target frameworks
08:41:54.713 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:54.714 |I| BuildQueue                     | RequestBuilder thread:9        | Build immediately: \data\project\Core.Utility.csproj
08:41:54.714 |I| Build                          | RequestBuilder thread:9        | Start build 'Core.Utility.csproj' with 1 target frameworks
08:41:54.716 |I| Build                          | RequestBuilder thread:9        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
08:41:56.313 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Core.Parameter.csproj': Success
08:41:56.313 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Core.Parameter.csproj': Success
08:41:56.841 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Core.Utility.csproj': Success
08:41:56.842 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Core.Utility.csproj': Success
08:41:56.980 |I| Build                          | .NET ThreadPool Worker:5       | Finish build part [1/1] for project 'Module.Player.csproj': Success
08:41:56.980 |I| Build                          | .NET ThreadPool Worker:5       | Finish build project 'Module.Player.csproj': Success
08:41:57.205 |I| Build                          | .NET ThreadPool Worker:14      | Finish build part [1/1] for project 'Core.Model.csproj': Success
08:41:57.206 |I| Build                          | .NET ThreadPool Worker:14      | Finish build project 'Core.Model.csproj': Success
08:41:57.399 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Module.Task.csproj': Success
08:41:57.399 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Module.Task.csproj': Success
08:41:57.576 |I| Build                          | .NET ThreadPool Worker:24      | Finish build part [1/1] for project 'Module.Worker.csproj': Success
08:41:57.576 |I| Build                          | .NET ThreadPool Worker:24      | Finish build project 'Module.Worker.csproj': Success
08:41:57.939 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'GameMain.csproj': Success
08:41:57.940 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'GameMain.csproj': Success
08:41:58.107 |I| Build                          | .NET ThreadPool Worker:26      | Finish build part [1/1] for project 'Editor.csproj': Success
08:41:58.107 |I| Build                          | .NET ThreadPool Worker:26      | Finish build project 'Editor.csproj': Success
08:41:58.173 |I| Build                          | MSBuild LoggingService events queue pump: 65273341:17 | Build succeeded.
08:41:58.185 |I| ProjectModel                   | RequestBuilder thread:9        | Reloading has finished, statistic: 
	Total: 4.51 sec
	Binding: 0.48 sec
	Evaluation: 2.09 sec
08:42:38.344 |I| Core                           | RequestBuilder thread:9        | Msbuild session 'ProjectModelSessionHost' was terminated
08:42:38.344 |I| Core                           | RequestBuilder thread:9        | Connection lost, kill msbuild
